STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WIND,CEILING ,VISIBILITY,TMP,DEW,SLP (Sea Level Pressure),MD1 (Atmospheric Preassure change),SA1 (Sea Surface Temperature),REMARKS
99727199999,2014-01-01T00:00:00,4,40.701,-74.014,10,"THE BATTERY, NY US",FM-13,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0001,1","+9999,9","10219,1","3,1,023,1,+999,0","+056,1",SYN054BATN6 46/// ///// 10001 40219 53023 90000 222// 00056=
99727199999,2014-01-01T01:00:00,4,40.701,-74.014,10,"THE BATTERY, NY US",FM-13,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0004,1","+9999,9","10231,1","3,1,032,1,+999,0","+057,1",SYN054BATN6 46/// ///// 11004 40231 53032 90100 222// 00057=
99727199999,2014-01-01T02:00:00,4,40.701,-74.014,10,"THE BATTERY, NY US",FM-13,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0009,1","+9999,9","10237,1","1,1,030,1,+999,0","+052,1",SYN054BATN6 46/// ///// 11009 40237 51030 90200 222// 00052=
99727199999,2014-01-01T03:00:00,4,40.701,-74.014,10,"THE BATTERY, NY US",FM-13,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0019,1","+9999,9","10245,1","1,1,026,1,+999,0","+051,1",SYN054BATN6 46/// ///// 11019 40245 51026 90300 222// 00051=
99727199999,2014-01-01T04:00:00,4,40.701,-74.014,10,"THE BATTERY, NY US",FM-13,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0023,1","+9999,9","10251,1","2,1,020,1,+999,0","+053,1",SYN054BATN6 46/// ///// 11023 40251 52020 90400 222// 00053=
99727199999,2014-01-01T05:00:00,4,40.701,-74.014,10,"THE BATTERY, NY US",FM-13,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0029,1","+9999,9","10256,1","1,1,019,1,+999,0","+052,1",SYN054BATN6 46/// ///// 11029 40256 51019 90500 222// 00052=
99727199999,2014-01-01T06:00:00,4,40.701,-74.014,10,"THE BATTERY, NY US",FM-13,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0033,1","+9999,9","10260,1","1,1,015,1,+999,0","+049,1",SYN054BATN6 46/// ///// 11033 40260 51015 90600 222// 00049=
99727199999,2014-01-01T07:00:00,4,40.701,-74.014,10,"THE BATTERY, NY US",FM-13,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0036,1","+9999,9","10269,1","3,1,018,1,+999,0","+050,1",SYN054BATN6 46/// ///// 11036 40269 53018 90700 222// 00050=
99727199999,2014-01-01T08:00:00,4,40.701,-74.014,10,"THE BATTERY, NY US",FM-13,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0038,1","+9999,9","10276,1","3,1,020,1,+999,0","+049,1",SYN054BATN6 46/// ///// 11038 40276 53020 90800 222// 00049=
99727199999,2014-01-01T09:00:00,4,40.701,-74.014,10,"THE BATTERY, NY US",FM-13,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,9,9","-0039,1","+9999,9","10280,1","1,1,020,1,+999,0","+047,1",SYN054BATN6 46/// ///// 11039 40280 51020 90900 222// 00047=
